RH_pct,Wind_Spd_mph,Wind_Direction_deg,Low_Cloud_Ht_ft,Med_Cloud_Ht_ft,High_Cloud_Ht_ft,Visibility_mi,Atm_Press_hPa,Sea_Lev_Press_hPa,Altimeter_hPa,LES_Snowfall,idx
74,10,230,2300,4100,0,3,974.1,0,996.6,0,95
69,17,240,3500,5000,0,7,971.7,994.9,994.2,0,96
75,15,240,2500,4100,5000,7,972.4,0,994.9,0,97
75,9,230,2200,0,0,10,973.4,996.4,995.9,0,98
82,10,230,1900,2700,3300,10,974.1,997.1,996.6,0,99
86,13,250,1300,2000,2400,5,974.7,0,997.3,0,100
86,28,280,1900,5000,10000,7,975.4,0,998,0,101
100,8,230,3000,5500,0,9,974.7,997.9,997.3,0,102
96,14,240,2100,4000,6500,10,975,998.3,997.6,0,103
59,13,260,3400,4300,0,10,987,1010.2,1009.8,0,104
59,8,240,4700,0,0,10,987,1010.4,1009.8,0,105
59,8,240,4300,0,0,10,987.3,1010.5,1010.2,0,106
59,7,0,4300,0,0,10,987.7,1010.9,1010.5,0,107
59,8,250,4900,0,0,10,988,1011.3,1010.8,0,108
59,10,260,5500,0,0,10,989,1012.2,1011.9,0,109
59,8,250,5500,0,0,10,989,1012.5,1011.9,0,110
64,6,200,6000,0,0,10,989.3,1012.7,1012.2,0,111
40,9,210,0,0,0,10,991.3,1014.7,1014.2,0,112
37,7,240,0,0,0,10,991.7,1015.1,1014.6,0,113
37,7,0,0,0,0,10,992,1015.2,1014.9,0,114
43,3,220,0,0,0,10,992,1015.5,1014.9,0,115
52,5,150,0,0,0,10,992,1015.5,1014.9,0,116
69,3,130,0,0,0,10,992.3,1015.8,1015.2,0,117
64,0,0,0,0,0,10,992.3,1015.7,1015.2,0,118
66,0,0,0,0,0,10,992,1015.4,1014.9,0,119
89,5,0,2200,4700,6500,10,990.3,1013.6,1013.2,0,120
82,6,0,6500,0,0,10,990,1013.2,1012.9,0,121
82,0,0,6500,0,0,10,990,1013.3,1012.9,0,122
71,6,0,6500,9000,0,10,990.3,1013.4,1013.2,0,123
79,5,0,7000,0,0,10,990,1013.2,1012.9,0,124
82,7,130,6000,0,0,9,990,1013,1012.9,0,125
82,7,0,6500,0,0,10,989.3,1012.4,1012.2,0,126
82,6,0,6000,0,0,10,988.3,1011.5,1011.2,0,127
89,0,0,600,1400,0,7,975.4,998.1,998,0,128
85,11,290,1600,2200,0,10,976.7,999.5,999.3,0,129
82,8,290,1800,0,0,10,977,1000,999.7,0,130
86,7,250,1800,0,0,10,978.4,1001.2,1001,0,131
86,6,240,1600,0,0,10,979.4,1002.3,1002,0,132
87,5,240,1300,0,0,10,980,0,1002.7,0,133
89,3,230,2300,0,0,10,980.7,1003.4,1003.4,0,134
89,5,220,2300,3200,0,10,981,1003.9,1003.7,0,135
74,13,260,1500,0,0,10,985.7,1008.5,1008.5,0,136
77,6,260,1500,0,0,10,985.7,1008.5,1008.5,0,137
77,5,210,1700,0,0,10,985,1007.9,1007.8,0,138
79,8,270,1700,0,0,10,985.7,1008.4,1008.5,0,139
89,3,200,1500,2100,0,4,985.4,1008.4,1008.1,0,140
93,0,0,1900,4700,0,6,985,0,1007.8,0,141
92,3,250,2500,6000,7500,3,985.4,1008.2,1008.1,0,142
93,3,0,900,1400,2300,4,984.7,0,1007.5,0,143
72,13,300,2300,3200,0,10,986.4,1009.7,1009.1,0,144
70,8,310,2300,4700,0,10,986.7,1009.7,1009.5,0,145
67,9,280,2500,4700,0,10,986.7,1009.9,1009.5,0,146
75,6,270,2500,4700,0,10,986.7,1009.9,1009.5,0,147
75,10,280,4600,0,0,10,987,1010.2,1009.8,0,148
70,9,300,3800,0,0,10,987.7,1010.8,1010.5,0,149
73,0,0,3700,5000,0,10,987,1010.1,1009.8,0,150
88,3,210,3700,4800,0,10,986.7,1009.8,1009.5,0,151
57,10,250,3200,4100,0,10,985.7,1008.9,1008.5,0,152
50,10,250,3900,10000,0,10,986.4,1009.4,1009.1,0,153
54,10,260,4300,0,0,10,986.7,1009.8,1009.5,0,154
61,3,230,4300,0,0,10,987,1010.3,1009.8,0,155
64,0,0,3500,4600,0,10,987.3,1010.7,1010.2,0,156
67,3,140,3000,4200,0,10,987.7,1010.9,1010.5,0,157
67,3,170,2800,4300,0,10,987.7,1011.1,1010.5,0,158
73,3,0,2500,4100,0,10,987.7,1011.1,1010.5,0,159
53,8,290,4300,6000,0,10,989.7,1012.9,1012.5,0,160
56,6,310,5500,10000,0,10,990,1013.2,1012.9,0,161
63,7,320,4400,5500,0,10,990,1013.2,1012.9,0,162
65,5,340,5500,8000,0,10,990,1013.2,1012.9,0,163
85,0,0,4400,0,0,7,990,1013.1,1012.9,0,164
91,0,0,4000,0,0,6,989.7,1013,1012.5,0,165
91,0,0,3600,0,0,4,989.3,1012.8,1012.2,0,166
95,0,0,2200,0,0,3,989,1012.3,1011.9,0,167
89,8,340,1300,2200,0,5,985.7,1009,1008.5,0,168
82,7,300,1500,4200,0,10,986,1009.3,1008.8,0,169
61,11,290,4800,0,0,10,986.7,1010,1009.5,0,170
67,10,280,4500,0,0,10,987.3,1010.6,1010.2,0,171
85,8,260,2300,4900,0,10,988,1011.2,1010.8,0,172
85,9,260,3200,7000,0,10,988.3,1011.7,1011.2,0,173
85,11,270,3400,6500,0,10,988.3,1011.8,1011.2,0,174
88,9,260,3500,7000,0,10,988.3,1011.9,1011.2,0,175
64,11,300,3200,5000,7000,10,988.7,1012.2,1011.5,0,176
72,13,280,3200,5000,0,10,989.3,1012.7,1012.2,0,177
78,9,280,3200,5000,0,7,989.7,1013.1,1012.5,0,178
75,10,270,3700,6000,0,10,990,1013.6,1012.9,0,179
84,9,260,2200,3800,8000,7,990.3,1013.7,1013.2,0,180
88,6,250,3100,6000,0,10,990.7,1014.2,1013.5,0,181
84,7,250,3400,5000,0,10,991,1014.3,1013.9,0,182
72,10,330,3700,0,0,10,991,1014.3,1013.9,0,183
73,16,340,3900,0,0,10,996.3,1019.8,1019.3,0,184
73,8,340,1500,4800,6000,9,996.3,1020,1019.3,0,185
82,5,250,3000,6000,0,10,996.3,1019.8,1019.3,0,186
86,8,360,1800,3300,4500,9,996.7,0,1019.6,0,187
85,7,330,2900,3600,5500,7,997,1020.5,1020,0,188
86,8,260,3500,6000,0,10,997,0,1020,0,189
92,0,0,1800,6000,0,10,997.3,1021,1020.3,0,190
92,3,220,1400,2600,6000,10,997.3,1021,1020.3,0,191
48,7,360,5000,0,0,10,999,1022.6,1022,0,192
48,11,360,5000,0,0,10,999.3,1022.7,1022.4,0,193
50,7,350,5000,0,0,10,999.3,1022.8,1022.4,0,194
54,3,330,5000,0,0,10,999.3,1022.8,1022.4,0,195
72,0,0,0,0,0,10,999.3,1023.1,1022.4,0,196
88,0,0,0,0,0,10,999.6,1023.2,1022.7,0,197
88,0,0,0,0,0,10,999.6,1023.5,1022.7,0,198
88,0,0,0,0,0,10,1000.3,1023.9,1023.4,0,199
42,3,0,5500,0,0,10,997.3,1021,1020.3,0,200
51,8,20,0,0,0,10,997,1020.7,1020,0,201
58,8,30,0,0,0,10,996.7,1020.4,1019.6,0,202
65,7,50,0,0,0,10,996.7,1020.2,1019.6,0,203
65,6,80,0,0,0,10,996.7,1020.3,1019.6,0,204
70,0,0,0,0,0,10,996.7,1020.2,1019.6,0,205
79,0,0,0,0,0,10,996.3,1020.1,1019.3,0,206
64,0,0,0,0,0,10,996.3,1020,1019.3,0,207
51,7,80,4500,0,0,10,986.4,1009.5,1009.1,0,208
51,5,110,4300,0,0,10,986,1009.2,1008.8,0,209
55,8,90,4500,0,0,10,985.4,1008.6,1008.1,0,210
57,0,0,4500,0,0,10,984.7,1007.8,1007.5,0,211
69,0,0,0,0,0,10,984.4,1007.6,1007.1,0,212
84,0,0,0,0,0,10,983.7,1007,1006.4,0,213
88,0,0,0,0,0,9,982.7,1005.8,1005.4,0,214
88,0,0,0,0,0,9,981.4,1004.4,1004.1,0,215
57,31,300,3400,4100,6000,10,973.1,996.1,995.6,0,216
67,23,310,3700,4500,11000,10,974.4,997.3,997,0,217
52,25,300,4000,7000,0,10,975,998.1,997.6,0,218
50,18,290,4000,7000,0,10,976,998.9,998.6,0,219
52,23,300,4900,6000,7500,10,976.4,999.5,999,0,220
50,21,300,6000,7500,0,10,976.7,999.5,999.3,0,221
50,20,300,4900,7500,0,10,976.4,999.4,999,0,222
52,18,290,7000,8500,0,10,976.4,999.5,999,0,223
47,18,260,4100,0,0,10,985.4,1008.4,1008.1,0,224
46,10,250,4100,0,0,10,985.7,1008.9,1008.5,0,225
48,7,240,4400,11000,0,10,986.4,1009.4,1009.1,0,226
50,7,230,11000,0,0,10,986.7,1009.8,1009.5,0,227
52,5,220,0,0,0,10,987,1010.2,1009.8,0,228
59,3,0,0,0,0,10,987.3,1010.6,1010.2,0,229
59,6,220,0,0,0,10,987.3,1010.7,1010.2,0,230
59,7,230,0,0,0,10,987.7,1011,1010.5,0,231
45,9,140,0,0,0,10,980.7,1003.7,1003.4,0,232
49,8,140,0,0,0,10,980.7,1003.7,1003.4,0,233
51,7,0,0,0,0,10,980.4,1003.2,1003,0,234
57,6,0,0,0,0,10,980,1003,1002.7,0,235
57,8,140,0,0,0,10,979.4,1002.6,1002,0,236
59,6,0,0,0,0,10,979,1001.9,1001.7,0,237
57,7,160,0,0,0,10,978.7,1001.4,1001.4,0,238
57,7,0,0,0,0,10,977.7,1000.6,1000.3,0,239
46,23,270,4000,0,0,10,988.3,1011.4,1011.2,0,240
44,22,260,4500,0,0,10,989.3,1012.3,1012.2,0,241
48,15,270,4500,0,0,10,989.7,1012.9,1012.5,0,242
49,14,250,4300,0,0,10,990.3,1013.7,1013.2,0,243
53,5,0,4300,0,0,10,991.3,1014.7,1014.2,0,244
58,5,210,0,0,0,10,992,1015.4,1014.9,0,245
58,6,220,0,0,0,10,992.3,1015.7,1015.2,0,246
63,5,230,0,0,0,10,992.7,1016.3,1015.6,0,247
